1	2
1	9
1	85
1	156
1	203
1	225
1	230
1	252
1	271
1	331
1	374
1	431
1	484
1	500
2	1
2	230
2	233
2	317
2	331
2	467
3	133
3	190
3	209
3	315
3	336
3	375
3	401
3	421
3	496
4	153
4	232
4	237
4	241
4	255
5	20
5	235
5	284
5	341
5	347
5	489
6	95
6	111
6	148
6	349
7	52
7	104
7	118
7	120
7	198
7	245
7	278
7	341
7	449
7	477
7	479
8	133
8	214
8	309
8	336
9	1
9	22
9	175
9	187
9	203
9	271
9	438
10	162
10	220
10	267
10	482
11	61
11	140
11	180
11	294
11	458
12	38
12	103
12	115
12	135
12	251
12	269
12	290
12	312
12	392
12	466
12	468
12	498
13	67
13	178
13	197
13	266
13	269
13	403
13	443
13	457
13	466
13	499
14	63
14	77
14	119
14	445
14	482
15	136
15	294
15	397
15	454
15	484
16	132
16	164
16	436
16	471
17	25
17	164
17	272
17	367
18	153
18	173
18	228
18	316
19	104
19	341
19	467
19	479
20	5
20	29
20	40
20	58
20	84
20	92
20	152
20	226
20	284
20	285
20	321
20	325
20	336
20	355
20	453
20	470
20	489
21	43
21	92
21	94
21	228
21	232
21	241
21	316
21	326
21	339
21	357
22	9
22	49
22	85
22	271
22	376
22	431
23	135
23	290
23	295
23	410
24	137
24	330
24	365
24	411
25	17
25	32
25	56
25	79
25	132
25	350
25	367
25	392
25	471
26	74
26	199
26	399
26	417
27	54
27	292
27	349
27	371
27	382
27	461
28	40
28	69
28	161
28	188
28	223
28	272
28	283
28	311
28	319
28	335
28	356
28	368
28	369
28	405
28	432
28	438
28	459
28	473
28	488
29	20
29	152
29	489
29	491
30	44
30	342
30	387
30	410
31	35
31	81
31	321
31	419
32	25
32	55
32	126
32	227
33	194
33	199
33	267
33	288
33	353
33	411
34	143
34	210
34	211
34	224
34	227
34	265
34	389
35	31
35	36
35	202
35	220
35	267
35	402
36	35
36	130
36	227
36	242
37	323
37	326
37	444
37	446
37	492
38	12
38	84
38	332
38	443
39	79
39	87
39	164
39	176
39	205
39	362
39	474
40	20
40	28
40	45
40	84
40	99
40	152
40	196
40	285
40	325
40	347
40	350
40	355
40	423
40	446
40	460
40	489
41	117
41	192
41	245
41	477
42	254
42	258
42	292
42	416
43	21
43	107
43	121
43	228
43	244
44	30
44	71
44	229
44	398
45	40
45	61
45	93
45	127
45	136
45	397
45	458
46	270
46	332
46	345
46	364
47	104
47	119
47	245
47	415
48	97
48	267
48	394
48	422
49	22
49	175
49	222
49	233
49	239
49	252
49	330
49	376
49	477
49	500
50	224
50	261
50	337
50	411
50	465
51	149
51	221
51	279
51	392
51	461
52	7
52	60
52	65
52	108
52	158
52	189
52	213
52	303
52	306
52	330
52	334
52	404
52	411
52	467
53	189
53	318
53	335
53	451
54	27
54	308
54	392
54	480
55	32
55	87
55	90
55	164
55	293
55	342
55	471
55	476
56	25
56	131
56	201
56	367
56	426
56	474
57	159
57	209
57	233
57	336
57	375
58	20
58	168
58	259
58	460
59	145
59	335
59	361
59	405
59	429
60	52
60	137
60	237
60	330
60	384
60	386
61	11
61	45
61	274
61	378
62	93
62	273
62	390
62	462
63	14
63	73
63	218
63	292
63	315
63	392
63	434
64	314
64	344
